c,a
마스크 관련해서 문의 드리려고요.,"네, 말씀하세요."
,
KF94 보다 의료진이 쓰는 N95를 써야 더 안전한가요?,아닙니다. KF80 정도의 보건용 마스크로도 충분 합니다. 
,
왜 그런가요?,"주로 사람간 밀접접촉에 의한 비말 전파를 통해 감염되는데, 비말 감염은 KF80으로도 충분히 막을 수 있습니다. "
,
그래도 N95를 쓰는 게 더 낫지 않나요?,N95처럼 차단율 높은 마스크를 썼을 때 호흡곤란이 생기는 등 마스크를 지속적으로 못 쓸 수가 있습니다. 
,
"아, 차단율이 좋으면 그럴 수 있나보네요. ","네, 그래서 차단율이 낮더라도 마스크를 지속적으로 사용하는 것이 더 좋습니다."
,
"네, 알겠습니다.",또한 마스크를 제대로 착용하는 중요합니다.
,
마스크를 제대로 착용하는 방법이 따로 있나요?,가장 자리가 헐렁하지 않도록 꽉 조여서 제대로 잘 써야 합니다. 
,
또 다른 주의 사항이 있을 까요?,"마스크 착용 전 손을 비누로 씻은 뒤 착용하고, 착용 중에는 만지지 말고 사용해야 합니다."
,
벗을 때는 요?,벗을 때는 귀쪽을 감싸는 고무줄을 잡고 벗은 후에는 즉시 폐기 후 손을 잘 씻어야 합니다.
,
"네, 알겠습니다. 감사합니다.",모쪼록 올바른 마스크 착용으로 건강한 생활 하시기 바랍니다.
,
마스크 관련해서 문의 드릴 께요.,"네, 말씀하세요"
,
코로나19에 면 마스크 착용해도 되나요?,경우에 따라 다릅니다.
,
어떤 경우에 써도 되나요?,감염 우려가 높지 않거나 보건용 마스크가 없을 경우 도움이 됩니다. 
,
어떤 식으로 도움이 되나요?,"타인의 기침, 재채기로 인한 비말이 직접 닿지 않도록 방지 할 수 있습니다. "
,
"그러면, 쓰면 안되는 경우도 있나요?",감염의심자와 접촉 등 위험성이 존재하는 경우와 기저질환자 등의 고위험군의 경우 보건 마스크를 착용하시는 편이 좋습니다.
,
면 마스크에 정전기 필터를 달면 좀 더 좋을 까요?,정전기 필터를 달면 더 효과가 좋습니다.
,
얼마나 더 좋아 질까요?,"미세입자를 평균 80%에서 95% 까지 차단할 수 있어, KF80 보건용 마스크와 비슷한 효과를 보이게 됩니다. "
,
필터가 없을 때는 얼마나 차단 되나요?,16%에서 22%정도를 차단합니다. 
,
정전기 필터를 사용할 때 주의 사항이 있나요?,필터가 조금이라도 찢어지거나 젖었을 경우에는 새 필터로 교체해야 합니다.
,
마스크 관련해서 잘 알았습니다. 감사합니다.,"네, 올바른 마스크 착용으로 건강한 생활 하시기 바랍니다."
,
안녕하세요. 마스크 관련 문의 드리려고 하는데요.,"네, 말씀해주세요"
,
얼굴을 다 가리는 마스크를 쓰면 괜찮을 까요?,아닙니다. 마스크는 어떻게 착용하는 가와 효율에 따라 결정되는 것으로 넓게 가려주는 것과는 무관합니다. 
,
마스크 효율은 어떤 걸 말하나요?,얼마나 미세한 입자를 걸러 줄 수 있는지를 의미 합니다. 
,
그러면 얼굴 전체를 가리는 마스크는 쓰나 마나 인가요?,보호 효과가 있다고 말씀드리기 어렵니다.
,
그럼 뭐가 중요한가요?,"코와 입, 턱이 잘 가려지면 되고, 마스크를 얼마나 차폐가 잘 되게끔 착용하는 것이 가장 중요합니다."
,
일회용 마스크가 제일 낫겠네요,"네, 그렇습니다."
,
헤어드라이기로 일회용 마스크를 멸균해서 다시 사용해도 될까요?,원칙적으로는 재사용하면 안됩니다. 부득이하게 재사용할 경우에도 건조만 하셔야 합니다.
,
헤어드라이기를 사용하면 멸균 효과가 있지 않을 까요?,"전자레인지, 알코올 소독, 헤어드라이기를 사용할 경우 정전기 필터의 성능이 떨어지므로 사용하면 안됩니다."
,
"그러면, 일회용 마스크 버릴 때는 어떻게 버려야 하나요?",최대한 바깥면과 손이 닿지 않게 접어서 버려야 합니다. 
,
그거면 되나요?,그리고 버린 후에는 꼭 올바른 방법으로 손을 씻어야 합니다. 
,
10초간 숨을 참아서 괜찮으면 코로나19 아니죠?,10초간 숨참기와 코로나는 관련이 없습니다.
,
"코로나19 걸리면 폐가 망가지고, 그러면 10초 숨참기를 못한다고 하던데요?",코로나19에 걸린다고 해서 모두 폐가 망가지는 것은 아니며 그렇게 심하지않은 것으로 나타났습니다. 
,
그럼 중증인 경우를 골라낼 수 있지 않나요?,"폐가 망가지는 것을 폐섬유화라 하는데, 진단법에 10초간 숨참기가 없습니다."
,
걸렸을 때 치료제가 있나요?,아직까지 확실한 치료약이나 치료법은 없습니다. 
,
그럼 병원에 입원해 있는 확진자들은 어떤 치료를 받나요?,"환자의 증상을 완화하기 위한 치료를 하고 있으며, 증상이 심각한 경우 생명유지 기능을 보조할 수 있는 치료를 하고 있습니다. "
,
뉴스에 많이 나오는 렘데시비르가 치료약 아닌가요?,렘데시비르는 원래 에볼라 바이러스 치료제로 만든약입니다. 
,
"네, 그래도 그게 효과가 있다고 들어서요.","증상이 개선된 경우도 있지만, 사망, 부작용도 나타났습니다."
,
부작용이요?,"네, 장기능 장애, 저혈압등의 부작용을 보였습니다. "
,
그러면 아직까지 치료약은 없는 건가요?,"네, 예방이 최선입니다. "
,
"네, 알겠습니다. 감사합니다.",예방으로 건강한 생활 하시길 바랍니다.
,
"의심 환자 되었는데요, 어떻게 해야 하나요?",우선은 출근이나 등교 등의 외출을 자제하고 집에서 쉬면서 3~4일 지켜봐야 합니다.
,
가족들은 요?,"마스크를 착용하시고, 2m 거리 두기를 하시기 바랍니다."
,
몸이 안좋아지면 어떤 증상이 나타날 수 있나요?,38도 이상의 고열을 비롯한 심한 기침등이 계속 나타날 수 있습니다.
,
그러면 어떻게 해야 하나요?,"근처의 선별진료소를 방문하거나, 1339, 관할 보건소에 상담을 요청하시면 됩니다."
,
검사 비용은 어떻게 되나요?,의사 환자에 해당되면 본인 부담금이 발생하지 않습니다. 
,
의사 환자는 뭔가요?,"확진환자와 접촉한 후 14일 이내에 발열 또는 기침, 호흡곤란 등의 호홉기 증상이 나타난 분을 의미 합니다."
,
본인 부담금이 전혀 발생하지 않나요?,"일반 진찰, X-ray 검사 등 다른 진료비용에 대해서는 본인 부담금이 발생합니다. "
,
시간은 얼마나 걸릴까요?,"유전자 검사는 6시간 정도 걸립니다만, 검체 이송, 의뢰등의 시간으로 하루나 이틀 정도면 결과를 받으실 수 있습니다."
,
검사 장소는요?,검체 채취가 가능한 선별 진료소에서 검사를 받으실 수 있습니다.
,
어디서 검색하면 될까요?,https://www.mohw.go.kr/react/popup_200128.html 에서 검체채취 가능 진료소를 보시면 됩니다.
,
건물 들어올 때 열화상 카메라를 봤는데요. 감염자 다 구분 되나요?,고열 증세를 갖고 있는 환자들을 식별하는 데는 효과적입니다. 
,
고열이 없는 경우는 어떻게 되나요?,"고열 증세가 없거나, 잠복기에 있는 환자는 식별이 불가능 합니다."
,
그러면 감염자가 건물로 들어올 수도 있겠네요?,"네, 그렇습니다. 그렇기 때문에 예방이 최선입니다."
,
확진자와의 밀접 접촉이 정확히 뭔가요? 별도의 기준이 있나요?,밀접 접촉에는 6가지 기준이 있습니다.
,
6가지나 되나요?,"확진자와 같은 집에 사는 것, 체액에 접촉하는 것, 대면 접촉, 기침할 때 같은 공간에 있는 것, 1미터 이내 거리에서 15분 이상 대면 접촉, 개인 보호구 없이 확진자를 돌보는 것을 의미 합니다."
,
확진 되기 전에 접촉한 사람들도 밀접 접촉자 인가요?,확진자의 증상 발생 2일전 부터를 기준으로 하고 있습니다. 
,
밀접 접촉하면 어떻게 해야 하나요?,외출 자제하시고 3~4일 증상을 지켜봐야 합니다.
,
어떤 증상이 나타날 수 있나요?,"38도 이상의 고열이 나타날 수 있고, 심한 기침, 무기력감등의 증상이 나타날 수 있습니다."
,
증상이 나타나면 어떡해야 하나요?,"1339로 전화 하시거나, 관할 보건소에 상담하시면 후속 조치를 알려드릴 겁니다. "
,
"네, 알겠습니다.",건강한 하루 되시기 바랍니다. 
,
"마스크 착용이 중요하다고 하는데, 집안에서도 마스크를 착용해야 하나요?","혼잡하지 않은 야외, 가정, 그리고 개별 공간에서는 마스크를 착용하지 않아도 됩니다."
,
"집안에서도 마스크를 쓰시던 분이 계시던데, 그건 왜 그런건가요?","집에서 같이 생활하는 분들 중에서 열이 나거나 호흡기 증상이 있는 분이 계실 경우, 집안에서도 마스크를 착용해야 합니다. "
,
마스크 재 사용이 가능 할까요?,"오염 우려가 적은 곳에서 일시적으로 사용한 경우, 환기가 잘 되는 깨끗한 곳에 보관한 후 동일인에 한하여 재사용이 가능합니다. "
,
환기를 권장하던데 환기를 해야 하는 이유는 뭔가요?,환기를 통해 코로나19 바이러스가 들어있는 침방울의 공기 중 농도를 낮출 수 있습니다.
,
미세먼지 심한 날에는 어떻게 환기 하나요?,미세 먼지가 심한 날에도 주기적으로 환기를 하는 것이 좋습니다. 
,
미세먼지가 다 심하데도요?,"환기를 하지 않으면, 오히려 유해 성분등이 축적되어 실내 공기 질이 나빠집니다."
,
공기 청정기로 대체 되지 않나요?,공기청정기와 관계없이 하루 2회 이상 주기적 환기를 권장합니다.
,
공기청정기로 코로나19 예방 안되나요?,공기청정기 필터로 코로나19 바이러스를 걸러낼 수 있다는 보고가 아직까지는 없습니다.
,
환기 중에 공기 중 전파 되지 않을까요?,코로나19 바이러스는 비말을 통해서 감염되는 것으로 알려져 있습니다. 공기를 통한 감염은 보고된 바가 없습니다. 
,
환기가 중요하네요.,"네, 집안에서 꼭 주기적으로 환기를 해 주시기 바랍니다."
,
마스크 사용지 주의해야 할 사항이 궁금합니다.,벗을 때 겉면이 손에 닿지 않도록 조심히 벗어야 합니다.
,
겉면이 닿으면 안되나요?,"겉면에 오염물질이 묻어 있을 수 있어서, 마스크를 썼어도 손으로 인한 감염이 발생할 수 있습니다."
,
버릴 때는 어떻게 버려야 하나요?,종량제 봉투에 버리시면 됩니다.
,
마스크 재질이 부직포나 면일 경우에는요?,"네, 마스크는 재질에 관계없이 종량제 봉투에 버리시면 됩니다."
,
그냥 종량제 봉투에 넣으면 되나요?, 마스크를 반으로 접은 후 끈으로 묶어서 버리셔야 합니다.
,
어차피 쓰레기 봉투에 버리는 건데 그렇게 해야 하나요?,"한번 사용한 마스크를 그냥 버리면 다른 사람이 감염될 수 있어서, 반으로 접어서 버려 주세요."
,
어떤 마스크를 써야 하나요?,"보건용, 수술용, 비말 차단용, 면 마스크 모두 가능합니다."
,
특별히 권장되는 마스크가 있을까요?,식품의약품안전처가 허가한 의약외품 마스크 착용을 적극 권장하고 있습니다.
,
KF 인증 마스크는 언제 쓰나요?,"KF94는 의심환자를 돌보는 경우, KF80은 증상이 있는 경우, 기저질환 환자가 착용합니다."
,
좀 시원하고 오래 쓸 수 있는 마스크는 없을 까요? 답답하고 힘들어서요.,비말차단용 또는 수술용 마스크를 쓰시면 됩니다.
,
마스크 착용 안하면 안되나요?,마스크 착용 의무화 행정명령이 내려진 상황이라 꼭 착용하셔야 합니다.
,
마스크 효과가 있기는 한건가요?,"네, 마스크 착용 시 감염 위험이 85% 감소 되는 것으로 보고 되고 있습니다. "
,
실제 사례가 있는 건가요?,"승용차 안에서 확진자와 1시간 동승했으나 마스크를 사용해서 전원 음성이 나온 경우가 있고, 확진자가 28명 발생했던 카페의 종사자 4명이 마스크로 인해서 전원 음성이 나왔습니다."
,
어디서 꼭 착용해야 하는 건가요?,"실내 기준으로는 버스, 지하철, 선박, 항공기등의 운송수단, 건축물 및 사방이 분리되어 있는 모든 구조물안에서 마스크를 써야 합니다."
,
실외 기준도 있나요?,"집합, 모임, 행사 등 다중이 모여 사람과 접촉하는 경우에 써야 합니다."
,
그러면 마스크 벗지도 못하고 항상 쓰고 있어야 하는 것 아닌가요?,일상적 사생활이나 음식물 섭취등 불가피한경우에는 예외를 두고 있습니다.
,
일상적 사생활은 뭔가요?,"집에 있을 때, 혼자 있을 떄, 가족들과 함께 있을 때를 의미합니다. "
,
그러면 자동차내에서 가족 아닌 사람들과 함께 있으면 어떻게 해야 하나요?,주거를 같이 하는 사람이 아닌 사람과 같이 승차하고 있을 경우 마스크를 써야 합니다. 
,
불가피한 경우는 어떤 경우 인가요?,"마스크 착용시 호흡 곤란 및 건강 악화 우려가 있는 경우, 공무 수행, 생계 유지, 수영, 물놀이 중일 경우 등입니다."
,
코로나 증상이 있어도 예외 상황이면 안써도 되나요?,"발열, 호흡기 증상이 있을 경우, 예외 상황이라도 반드시 써야 합니다. "
,
집안에서도 마스크 써야 하나요?,"사생활 공간인 집에서는 마스크를 쓰지 않아도 됩니다만, 가족 중 호흡기 증상이 있는 경우는 마스크 착용을 권장 합니다."
,
영유아도 꼭 마스크를 써야 하나요?,"24개월 미만 영유아의 경우 호흡기가 발달되지 않고, 마스크를 스스로 벗지 못 할 수있으므로 의무 착용 대상은 아닙니다."
,
그러면 영유아는 안써도 되나요?,"감염병 예방을 위해 마스크를 씌워야 하고, 쓰고 있는 동안은 보호자의 주의가 반드시 필요합니다."
,
병원에 있는 환자도 마스크를 써야 하나요?,"호흡기 기저질환 환자, 마스크 착용시 건강이 악화될 수 있는 중증환자등은 예외를 인정하며, 전문의 소견에 의거해 예외를 인정할 수 있습니다."
,
치과 진료시에는 어떻게 하나요?,"마스크를 벗어야만 진료 행위가 가능한 경우 마스크를 착용하지 않아도 됩니다만, 진료 전, 후에는 마스크를 착용해야 합니다."
,
회사에서 양치질 하는 경우 마스크는 어떻게 하나요?,"개인 위생활동을 하는 경우 마스크를 착용하지 않아도 됩니다. 위생 활동 전, 후에는 역시 마스크를 착용해야 합니다."
,
방송 출연자들은 마스크 안해도 되나요?,"생계 유지를 위한 활동, 공연 등에 출연하는 경우 예외를 인정합니다. 출연 전후에는 마스크를 써야하며, 출연자 이외 스테프는 마스크를 써야 합니다."
,
사진 촬영시에도 마스크를 써야 하나요?,"사적인 목적인 경우 마스크를 착용해야 하고, 공공기관 제출 목적의 사진 촬영인 경우 마스크 착용 예외를 인정합니다. 사적인 목적이라도 실외, 주변 2m 거리 내 가족 이외 다른 사람이 없을 경우 예외를 인정합니다."
,
운동 선수들은 마스크 착용안하나요?,마스크를 벗어야만 본업 또는 생계유지가 가능한 경우로 보고 있습니다. 
,
유투버들도 마스크 써야 하지 않나요?,"사생활 공간인 집에서 촬영하거나, 혼자 촬영 , 또는 가족과 촬영하는 경우 마스크를 쓰지 않아도 됩니다. 실외에서는 2m 이내에 가족 이외의 다른 사람이 없을 경우 마스크를 쓰지 않아도 됩니다."
,
워터 파크나 계곡에서도 마스크 써야 하나요?,"사회적 거리두기 2단계에서는 워터파크, 계곡 출입의 자제를 권고하고 있습니다. 물속에서 하는 활동의 경우에는 마스크 예외를 인정하고 있습니다."
,
담배 피려고 마스크를 벗어도 되나요?,"담배의 경우 기호식품으로 분류, 음식물 섭취에 해당하여 예외를 인정하고 있습니다. "
,
"등산, 산책, 야외 운동시에는 어떤가요?","야외 활동시 다른 사람과 2m 거리 두기가 가능할 경우는 안써도 됩니다만, 그렇지 못할 경우에는 써야 합니다."
,
사무실 내에서 업무 중에도 마스크를 써야 하나요?,"분할된 공간 내 혼자 있거나, 음식물 섭취, 보건, 위생활동등의 예외 상황이 아니라면 써야 합니다."
,
1인 사업장에서도 마스크를 써야 하나요?,"사업장에 혼자 있거나, 가족만 함께 있는 경우는 마스크를 쓰지 않아도 됩니다. "
,
마스크 쓸 때 입만 가려도 되나요?,코와 입을 동시에 가리지 않을경우 미착용한 것으로 보고 있습니다. 반드시 입과 코를 모두 가리시기 바랍니다.
,
"카페, 식당에서는 마스크 벗어도 되나요?","식품 섭취를 할 때만 벗을 수 있고, 이전과 이후, 대화시에는 마스크를 착용해야 합니다. "
,
마스크를 잠시 벗을 때는 어떻게 보관해야 하나요?,오염되지 않도록 깨끗한 봉투에 넣어서 보관하는 것을 권장합니다.
,
노래방에서 노래 부를 때도 써야 하나요?,"노래방은 밀폐, 밀접, 밀집 특성을 가진 고위험 시설로 방문 자제를 권장하고 있습니다. 노래 부를때를 포함해서 반드시 마스크를 써야 합니다."
,
면마스크를 써도 되나요?,"식약처가 의약외품으로 인정한 마스크를 권장합니다만, 면마스크까지는 착용이 인정됩니다."
,
망사 마스크 써도 되나요?,망사마스크는비말 차단 효과가 입증되지 않아 마스크 착용으로 인정하지 않습니다.
,
결혼식장 마스크 착용은 어떻게 해야 하나요?,"모든 사람은 마스크 착용이 원칙이나 신랑 신부는 결혼식장 내에서 예외를 인정하고 있습니다. 단체 촬영시에는 모두 마스크 착용해야 하고, 신랑, 신부 양가 부모님에 한해 촬영시 예외를 인정합니다."
,
언제까지 마스크를 의무적으로 써야 하나요?,사회적 거리두기 1단계일 경우 행정 명령이 해제 될 예정입니다. 의무화 해제 이후에도 마스크 착용은 적극 권장 사항입니다.
,
마스크 착용 의무화 명령을 위반하면 어떻게 되나요?,"감염병예방및관리에관한법률 제49조제1항 제2의4호 위반으로 동법 83조4항에 따라 10만원 이하의 과태료가 부과될 수 있으며, 소용된 방역비용의 구상권이 청구될 수 있습니다."
,
회사내 직원이 마스크 미착용 할 경우 회사도 같이 처벌 대상이 되나요?,과태료는 명령을 위반한 개인에게 부과 되는 것으로 회사와는 무관합니다. 
,
마스크를 올바로 쓰려면 어떻게 해야 하나요?,"마스크를 쓰기 전에 흐르는 물과 비누로 손을 꼼꼼하게 씻고, 얼굴과 마스크사이에 틈이 없도록 해야 합니다."
,
그러면 마스크 안에 수건이나 휴지를 넣어서 밀착 시키면 되나요?,"마스크 안에 수건, 휴지등을 넣어서 착용하시면 안됩니다. 또한 마스크를 사용하는 동안에는 손으로 마스크를 만지시면 안됩니다. "
,
마스크에 손을 대게 되면 어떻게 해야 하나요?,마스크를 만졌다면 흐르는 물에 비누로 손을 꼼꼼하게 씻어야 합니다. 
,
벗을 때는 어떻게 하나요?,"끈만 잡고 벗긴 후, 흐르는 물에 비누로 손을 씻으세요. "
,
버릴 때는 어떻게 버리나요?,바깥면을 안쪽으로 접어 끈으로 감고 소독제를 뿌려 종량제 봉투에 버리시면 됩니다.
,
마스크 발수력들이 궁금합니다.,
면마스크의 발수력은요?,면마스크는 물이 투과가 되기때문에 쓰시면 위험합니다. 반복노출 되신다면 안심할수 없습니다.
,
덴탈마스크의 발수력은요?,덴탈마스크는 방수가 되기 때문에 물이 묻지 않고 코로나19가 감염되어 있는 비말같은 바이러스 포함 액체를 막아줍니다.
,
kf80의 발수력은요?,황사 마스크 중 80 도 덴탈 마스크처럼 방수가 됩니다
,
kf94 99는 언제 쓰죠?,일반인에게 권유하기보다 코로나 감염 위험이있는 의사나 간호사에게 필요합니다
,
10월부터 마스크 안쓰면 벌금은 낸다고 들었는데 언제 부터일까요?,예 그렇습니다. 13일부터 마스크 착용이 의무화됩니다.
,
과태료는 얼마예요?,10만원의 과태료을 냅니다
,
계도 기간은 없나요?,있습니다 한달간 계도 기간을 거쳐서 과태료를 물리게 됩니다
,
마스크 써야할 장소가 따로 있는건가요?,예 정해진 장소에서 마스크를 착용하셔야합니다.
,
예를 들어 어떤 장소인가요?,"버스 지하철등의 대중교통 이용자 그리고 의료기관요양시설,주 야간 보호시설 이용자 종사자 모두 마스크를 착용하셔야 합니다."
,
그러군요.,
요즘 집회 시위 때문에 확진자가 늘어나는데요. 마스크 착용 하지 않음 안되는 법이 따로 있을까요?,예 그렇슴니다. 집회 시위장 역시 마스크를 착용해야하는 장소입니다.
,
불행 중 다행이군요. 걱정이 심했는데요.,
불특정 다수가 모이거나 감염이 취약한 이용자가 모이는 곳에서는마스크 착용이 의무여야 할텐데 그것도 정해졌는지요?,예 그렇습니다. 마스크 착용이 의무화 됩니다.
,
주점 영화관 예식장은요?,거리두기 단계에 따라서 마스크 미착용시 처벌 될수 있는 대상이 될수 있습니다
,
혹시 피치못해 쓰지 못할 경우 제외되는 대상이 있나요?,"진료와 검진을 할때 필요에 따라 마스크를 벗어야 할 경우나 호흡곤란이 우려되는 영유아, 노인 등은 의무착용 대상자에서 제외 됩니다."
,
그렇군요.,
마스크를 쓰는 방법이 있을까요?,마스크를 썼다고 하더라도 입과 코를 완전히 가리지 않으면 과태료부과 대상입니다.
,
비말차단용 보건용 수술용 마스크는허용 되나요?,예 지금 말씀하신 마스크는 허용대상 마스크입니다.
,
망사용 마스크나 밸브형 마스크는요?,인정되지 않습니다.
,
스카프형으로 되어있는 것도 있는데 가능한가요?,아니요 인정되지 않습니다.
,
이렇게 마스크 착용이 의무화 되고 있는 나라가 또 있나요? ,예 다른 나라도 범칙금이 부과되고 있는 곳이 많습니다
,
마스크 쓸 때 권장하는 방법이 있나요?,"네, 올바른 마스크 착용법이 있습니다. "
,
어떻게 써야 하나요?,"우선, 착용하기 전, 흐르는 물에 비누로 손을 꼼꼼하게 씻어줘야 합니다."
,
물을 받아 놓고 쓰는 건 안되나요?,받은 물 사용시 병균이 다시 묻을 수도 있어서 흐르는 물 사용을 권장드립니다. 
,
손을 씻은 다음에는 어떻게 해야 하나요?,"마스크로 입과 코를 완전히 가려서, 얼굴과 마스크 사이에 틈이 없도록 해야 합니다."
,
마스크 끈을 귀에 걸기만 하면 되는거 아닌가요? ,끈을 귀에 걸기만 하면 얼굴과 마스크 사이에 틈이 있으면 그 사이로 병균이 들어올 수 있어서 완전히 틈이 없도록 해야 합니다.
,
그러면 어떻게 써야 완전히 밀착시킬 수 있나요?,양 손가락으로 코편이 코에 밀착되도록 눌러주신 후에 안면에 밀착시켜 주세요
,
마스크 안에 휴지를 넣어서 밀착시키는 건 어떤가요?,"마스크안에 수건, 휴지 등을 넣어서 착용하시면 안됩니다. "
,
그건 왜 안되나요?,"휴지 안에 있는 표백제 성분이 몸에 좋지 않으며, 휴지를 끼워 넣을 경우, 숨쉬기 어려워 질 수 있습니다."
,
쓰고 있는 동안 주의 사항이 있나요?,마스크를 사용하는 동안 마스크를 만지시면 안됩니다. 
,
벗을 때는 어떻게 해야 하나요?,"마스크를 벗을 때는 끈만 잡고 벗긴 후, 흐르는 물에 비누로 손을 씻어 주세요"
,
코로나19 때문에 스트레스를 너무 받는거 같아요.,혹시 구체적인 증상이 있으신가요?
,
"다른 사람들을 보면 코로나19 환자 아닐가 싶고, 그러다가 기운도 없어지고 그렇습니다.",코로나19로 인한 감염병 스트레스 같습니다.
,
저같은 사람이 많이 있나요?,"네, 많은 분들이 다양한 스트레스 증상을 호소하고 계세요."
,
어떤 증상이 주로 나타나나요?,"코로나19로 인한 불안과 공포를 크게 갖는 사람, 불면증, 사람들에 대한 경계, 무기력등 다양하게 나타나고 있습니다."
,
이 스트레스를 좀 풀 수 있는 방법이 없을까요?,"믿을 만한 정보에 집중하시고, 정신건강 전문가의 도움을 받으시는 것도 좋습니다."
,
믿을 만한 정보요?,"네, 잘못된 정보는 스트레스를 가중시키고 잘못된 판단을 하게 할 수 있습니다. "
,
그리고 또 간단하게 할 수 있는 게 있을까요?,"힘든 감정을 털어놓고, 충분한 운동, 수면, 건강한 식사를 챙기시는 것도 좋습니다."
,
혹시 전문적으로 도움을 받을 수 있는 곳이 있을까요?,"정신건강복지센터 15OO-OOOO나, 국가트라우마센터 02-OOOO-OOOO~O 로 연락하시면 도움을받으실 수 있습니다. "
,
"전화는 부담되고요, 사이트 같은 건 없을까요? ",국가트라우마센터 https://nct.go.kr 이나 질병관리본부 http://www.cdc.go.kr에 접속해서 정보를 얻으실 수도 있습니다.
,
"네, 알겠습니다. 감사합니다.","꼭, 상담하시고 스트레스를 극복하시길 바랍니다."
,
우리집 애가 코로나때문에 너무 힘들어 해요.,어떻게 힘들어 하나요?
,
"잠도 제대로 못자고, 불안해서 밖에도 잘 못나가고 있어요. ","힘든 감정을 잘 털어 놓도록 대화를 자주 해주시고, 운동, 건강한 식사를 할 수 있도록 도와주세요. "
,
"잘못된 정보를 어디서 듣고 불안해 하는 것 같은데, 어떻게 할 까요?","아이의 수준에 맞춰서 감염병에 대해서 잘 설명해 주시고, 믿을 만한 정보에 집중하도록 해 주세요. "
,
전문적인 도움을 받을 수 있는데가 있을 까요?,"국가트라우마센터, 연락처 02-OOOO-OOOO ~ O번 에서 도움을 받으실 수 있습니다. "
,
우선은 정보를 좀 얻고 싶은데요. ,그러시면 https://nct.go.kr 에 접속하셔서 정보를 열람하실 수 있습니다.
,
우리 애처럼 스트레스 받는 사람이 많은가요?,"네, 코로나19가 발생한 이후로 감염병 스트레스를 호소하는 분들이 많이 늘어났습니다."
,
어떤 어떤 증상이 있나요?,"불안과 공포가 커지고, 잠을 못자고, 사람들을 의심하고, 기운이 없고 무기력해 지는 증상들을 호소하고 있습니다. "
,
그럼 어떻게 대처해야 하나요?,"아까도 말씀드린 바와 같이 믿을 만한 정보에 집중해야 하고, 힘든 감정을 나누고, 몸과 마음을 돌봐야 합니다."
,
그래도 안되면 어떻게 하나요?,정신건강 전문가의 도움을 받는 것도 좋은 방법입니다.
,
"네, 알겠습니다. 감사합니다.","네, 건강한 하루 되세요"
,
집사람이 코로나19에 너무 민감합니다.,어떻게 반응하시나요?
,
"증상이 없어도 보균자일수 있다면서 밖에 나가는 걸 무서워하고, 밤에 잠을 잘 못자요.",코로나19 우을증으로 생각됩니다.
,
코로나19 우울증이요?,"네, 코로나19 시대가 되면서 감염 불안, 혼란등으로 우울증을 겪으시는 분들이 많으십니다."
,
어떻게 대처해야 하나요?,잘못된 정보를 접하고 불안해 하시는 분들이 많으십니다. 올바른 지식을 갖도록 도와주세요.
,
그렇겠네요. 또 다른 도움될 만한 것이 있을 까요?,대화를 많이 하시고 어떤점이 힘든지 많이 들어주세요. 
,
"집사람같은 사람이 많다고 하셨는데, 그럼 전문적으로 안내해 주는 곳이 있나요?","네, 국가트라우마센터, nct.or.kr 에 방문해 보시면 많은 정보를 얻으실 수 있습니다."
,
"아, 그렇겠네요. 혹시 그러면 앱같은것도 있을까요?",마음프로그램 모바일 앱이 있습니다. 구글플레이나 앱스토어에서 다운 받으실 수 있습니다.
,
앱이 있었네요. 주요 기능이 뭔가요?,"심리교육, 안정화 기법의 안내와 연습을 할 수 있도록 했습니다. "
,
구글플레이에서 마음프로그램으로 찾으면 되나요?,"네, 그렇습니다. 마음프로그램 앱 설치후에 회원 가입을 진행하시고 사용하실 수 있습니다."
,
어디서 만든건가요?,국가트라우마센터에서 만들었습니다.
,
안녕하세요. 코로나 때문에 걱정되서 전화했는데요?,"네, 어떤점이 궁금하신가요?"
,
정부에서 마스크를 쓰라고 해서 쓰긴 쓰는데요.,
이거 진짜 마스크만 쓴다고 완벽하게 예방할 수 있나요?,"마스크는 침방울을 통한 감염 전파를 차단하는데 도움이 되지만, 마스크 착용만으로 코로나19를 완벽하게 예방할 수는 없습니다."
,"손씻기, 기침예절, 사람간 2m이상 거리두기 등 생활수칙을 준수하는 것이 코로나 19 예방에 더 효과적이고 중요합니다."
,
손씻기 요령이 있나요?,"흐르는 물과 비누로 30초 이상 씻으시고, 손소독제를 사용하시는 것도 좋습니다."
,
기침예절에 대해 알려주시곘어요?,"기침이나 재채기를 하실 경우, 휴지나 옷소매 안쪽으로 입과 코를 가리신 후 해주시기 바랍니다."
,
2m거리를 지키지 못 할 경우는 어떻게 하나요?,"2m이상 거리를 지키지 못하실 경우, 최소한 1m라도 거리유지를 해주시기 바랍니다."
,
아프면 3-4일 쉬라고 하는데 자가격리할때 처럼 지내야 하나요?,"자가격리 수준은 아니지만, 열이 나거나 호흡기 증상이 있는 동안에는 가능한 주변 사람과 만나지 않을 것을 권고드립니다."
,"유증상자가 다른 사람과 함께 사는 경우에는 최대한 접촉을 피하고 손씻기와 기침예절, 집안에서도 무조건 마스크를 착용해야 합니다."
,
열이 나면 무조건 집에서 3-4일 쉬어야 하나요?,
독감일 수도 있잖아요?,열이 나거나 호흡기 증상이 있다면 집에서 3-4일간 쉬면서 외부활동을 최대한 자제하셔야 합니다.
