,고객질문(요청),상담사답변
795,필터가 없을 때는 얼마나 차단 되나요?,그러게요.. 같이 조심하면 좋을텐데요.
796,정전기 필터를 사용할 때 주의 사항이 있나요?,한 달뒤인 11월 13일까지입니다.
797,안녕하세요. 마스크 관련 문의 드리려고 하는데요.,별말씀을요 감사합니다.
798,얼굴을 다 가리는 마스크를 쓰면 괜찮을 까요?,안전신문고 앱에서 신고 가능하십니다.
799,마스크 효율은 어떤 걸 말하나요?,코로나19 감염확산을 일으킬 수 있는 행위에 대해 신고 가능하십니다.
800,그러면 얼굴 전체를 가리는 마스크는 쓰나 마나 인가요?,"집합금지 조치를 한 시설에서 영업이나 모임을 하거나, 자가격리를 무단이탈하거나 등이 있습니다."
801,그럼 뭐가 중요한가요?,위반행위자의 위반 당시 사진과 위반장소를 확인할 수 있는 사진을 첨부해야합니다.
802,일회용 마스크가 제일 낫겠네요,위치를 지정할 수 있는데 현재위치나 위반장소를 선택하여 등록합니다.
803,헤어드라이기로 일회용 마스크를 멸균해서 다시 사용해도 될까요?,"신고내용에 위반시설 종류나 상황, 내용등에 대한 구체적인 내용을 입력하고, 제출하면 됩니다."
804,헤어드라이기를 사용하면 멸균 효과가 있지 않을 까요?,관리기관 담당자가 사실확인을 하고 조치됩니다.
805,"그러면, 일회용 마스크 버릴 때는 어떻게 버려야 하나요?","조치결과는 신고인에게 스마트폰 알림, 카카오톡 알림, 문자 등으로 통보됩니다."
806,그거면 되나요?,네 감사합니다.
807,10초간 숨을 참아서 괜찮으면 코로나19 아니죠?,비말차단용 마스크는 윗쪽에 철사가 있습니다. 그 철사부분을 코와 맞닿게 밀착시켜야 합니다.
808,"코로나19 걸리면 폐가 망가지고, 그러면 10초 숨참기를 못한다고 하던데요?",마스크와 얼굴 사이에 공간이 있으면 그 사이로 비말이 들어올 수 있기 때문에 최대한 얼굴에 밀착해서 사용하시는게 좋습니다.
809,그럼 중증인 경우를 골라낼 수 있지 않나요?,따로 구분되진 않지만 작은 사이즈의 마스크를 사셔서 얼굴에 맞도록 마스크 줄로 사이즈를 줄여서 사용하셔야 합니다.
810,걸렸을 때 치료제가 있나요?,마스크는 걸어서 보관하는 것이 가장 좋습니다.
811,그럼 병원에 입원해 있는 확진자들은 어떤 치료를 받나요?,네 접어서 보관하시거나 아무데나 두면 바이러스 감염위험이 있기 때문에 걸어두시는게 좋습니다.
812,뉴스에 많이 나오는 렘데시비르가 치료약 아닌가요?,별말씀을요. 감사합니다.
813,"네, 그래도 그게 효과가 있다고 들어서요.",네 마스크 앞쪽면은 만지지 않는 것이 좋습니다.
814,부작용이요?,마스크 앞쪽면에는 다른 사람들의 비말이나 바이러스가 묻어있을 수 있기 때문에 만지지 않는게 좋습니다.
815,그러면 아직까지 치료약은 없는 건가요?,귀쪽에 있는 고리를 잡고 벗는것이 가장 좋습니다.
816,"의심 환자 되었는데요, 어떻게 해야 하나요?",네 최대한 바깥쪽을 만지지 않고 버리시는게 좋습니다.
817,가족들은 요?,마스크는 식약처의 인증을 받은 마스크를 착용하셔야 비말차단 효과를 얻을 수 있습니다.
818,몸이 안좋아지면 어떤 증상이 나타날 수 있나요?,식약처 홈페이지에 인증 마스크 목록이 기재되어 있습니다.
819,그러면 어떻게 해야 하나요?,네 맞습니다.
820,검사 비용은 어떻게 되나요?,그럼요 마스크 착용 유무가 가장 큰 영향을 끼친다고 보여집니다.
821,의사 환자는 뭔가요?,네 감사합니다.
822,본인 부담금이 전혀 발생하지 않나요?,마스크 구매사항에 대해 안내도와드리겠습니다.
823,시간은 얼마나 걸릴까요?,마스크는 주민번호 끝자리에 따라 지정된 날짜에 인당 2매씩 구매하시면 됩니다.
824,검사 장소는요?,네
825,어디서 검색하면 될까요?,현재 마스크 공급량이 부족하여 마스크 요일제를 시행중입니다.
826,건물 들어올 때 열화상 카메라를 봤는데요. 감염자 다 구분 되나요?,하루마다 새 마스크를 착용하지 않으셔도 비말 차단이 가능합니다.
827,고열이 없는 경우는 어떻게 되나요?,"약국에서 입니다,"
828,그러면 감염자가 건물로 들어올 수도 있겠네요?,판매하는 곳이 있으면 구매하시면 됩니다.
829,확진자와의 밀접 접촉이 정확히 뭔가요? 별도의 기준이 있나요?,현재 상황에선 마스크 요일제에 따라 정해진 요일에 약국에서 사시는게 저렴한 방법입니다.
830,6가지나 되나요?,네
831,확진 되기 전에 접촉한 사람들도 밀접 접촉자 인가요?,네 말씀하세요.
832,밀접 접촉하면 어떻게 해야 하나요?,의료용 마스크의 경우 일회용으로 착용하시고 버리시는걸 권장합니다.
833,어떤 증상이 나타날 수 있나요?,마스크가 없으신 경우에는 이틀도 사용 하셔도됩니다.
834,증상이 나타나면 어떡해야 하나요?,네 맞습니다 마스크의 주름이 아래를 향하도록 하고 콧대 부분이 고정될 수 있도록 착용하면 됩니다.
835,"네, 알겠습니다.",비말이나 먼지가 주름을 타고 내려가도록 해야하는데 반대로 착용하실 경우 비말이나 먼지가 주름사이에 끼어 있기도 합니다.
836,"마스크 착용이 중요하다고 하는데, 집안에서도 마스크를 착용해야 하나요?",마스크 앞쪽을 만지지 마시고 귀쪽 고리를 잡고 빼셔야 합니다.
837,"집안에서도 마스크를 쓰시던 분이 계시던데, 그건 왜 그런건가요?",마스크 표면에는 감염된 타인의 비말이 묻어 있을 수 있는데 그걸 손으로 만진 뒤 눈코입등을 만지면 비말감염 위험이 있습니다.
838,마스크 재 사용이 가능 할까요?,웹사이트에서 검색하시면 아실 수 있으시고 질병관리청 홈페이지에도 게시될 수 있도록 노력하겠습니다.
839,환기를 권장하던데 환기를 해야 하는 이유는 뭔가요?,네 감사합니다.
840,미세먼지 심한 날에는 어떻게 환기 하나요?,20cm의 면봉을 넣어 채취를 합니다.
841,미세먼지가 다 심하데도요?,네 그렇습니다.
842,공기 청정기로 대체 되지 않나요?,조금 힘들 수도 있습니다.
843,공기청정기로 코로나19 예방 안되나요?,입도 코와 똑같은 방법으로 진행 합니다.
844,환기 중에 공기 중 전파 되지 않을까요?,전문 의료진이 진행하기 때문에 염려 않으셔도 됩니다.
845,마스크 사용지 주의해야 할 사항이 궁금합니다.,현재는 그렇습니다.
846,겉면이 닿으면 안되나요?,힘들겠지만 그렇네요
847,버릴 때는 어떻게 버려야 하나요?,검사 잘 받으시길 바랍니다.
848,마스크 재질이 부직포나 면일 경우에는요?,아직 밝혀진 바가 없습니다. 
849,그냥 종량제 봉투에 넣으면 되나요?,아닙니다. 
850,어차피 쓰레기 봉투에 버리는 건데 그렇게 해야 하나요?,"네, 아직 말씀드리기 어렵습니다. "
851,어떤 마스크를 써야 하나요?,마스크 착용입니다. 
852,특별히 권장되는 마스크가 있을까요?,"네, 그렇습니다. "
853,KF 인증 마스크는 언제 쓰나요?,공기 중에 있는 비말을 차단해 줍니다. 
854,좀 시원하고 오래 쓸 수 있는 마스크는 없을 까요? 답답하고 힘들어서요.,"네, 실내에서는 반드시 착용하셔야 합니다. "
855,마스크 착용 안하면 안되나요?,11월 부터입니다. 
856,마스크 효과가 있기는 한건가요?,"네, 미착용 시 벌금이 부과됩니다. "
857,실제 사례가 있는 건가요?,10만원 입니다. 
858,어디서 꼭 착용해야 하는 건가요?,KF80 이상을 권해드립니다.
859,실외 기준도 있나요?,마스크는 1회 사용을 권고합니다.
860,그러면 마스크 벗지도 못하고 항상 쓰고 있어야 하는 것 아닌가요?,오염 우려가 작은 곳에서 잠깐 사용한 경우 재사용할 수 있습니다.
861,일상적 사생활은 뭔가요?,소독제 사용 시 흡입 위험이 있습니다.
862,그러면 자동차내에서 가족 아닌 사람들과 함께 있으면 어떻게 해야 하나요?,정전기 필터 성능이 떨어지므로 권하지 않습니다.
863,불가피한 경우는 어떤 경우 인가요?,집안에서는 쓰지 않으셔도 됩니다.
864,코로나 증상이 있어도 예외 상황이면 안써도 되나요?,유 증상자가 있을 경우에는 격리와 마스크 착용을 권고합니다.
865,집안에서도 마스크 써야 하나요?,혼잡하지 않은 야외에서는 잠시 벗을 수 있지만 착용을 권고합니다.
866,영유아도 꼭 마스크를 써야 하나요?,끈을 가위로 자른 후 종량제 봉투에 버리시면 됩니다.
867,그러면 영유아는 안써도 되나요?,식약처가 허가한 비말차단마스크 사용은 가능합니다.
868,병원에 있는 환자도 마스크를 써야 하나요?,현재 비타민씨가 코로나를 예방한다는 연구 결과는 없습니다.
869,치과 진료시에는 어떻게 하나요?,건강보조식품으로 드시고 계신것 같습니다.
870,회사에서 양치질 하는 경우 마스크는 어떻게 하나요?,치료약을 만들기 위한 시도 중 하나이지만 효과가 있다고 발표되지 않았습니다. 
871,방송 출연자들은 마스크 안해도 되나요?,코로나 예방 혹은 치료와의 연관성은 밝혀진 것이 없습니다. 
872,사진 촬영시에도 마스크를 써야 하나요?,네 백신은 여러 제약사에서 연구 중에 있습니다. 
873,운동 선수들은 마스크 착용안하나요?,연구 중에 있으므로 정확한 시기는 알 수 없습니다.
874,유투버들도 마스크 써야 하지 않나요?,아직은 개발중이므로 논의된 바가 없습니다.
875,워터 파크나 계곡에서도 마스크 써야 하나요?,죄송하지만 무료 접종 여부에 대해서도 결정된 바가 없습니다.
876,담배 피려고 마스크를 벗어도 되나요?,"네, 감사합니다."
877,"등산, 산책, 야외 운동시에는 어떤가요?",독감과 코로나는 종류가 다른 바이러스 이므로 독감 백신으로 코로나19를 예방할 수 없습니다. 
878,사무실 내에서 업무 중에도 마스크를 써야 하나요?,네 예년에 비해 빠른 속도로 접종률이 증가하고 있습니다.
879,1인 사업장에서도 마스크를 써야 하나요?,현재 독감 백신은 하루 100인으로 제한됩니다. 
880,마스크 쓸 때 입만 가려도 되나요?,독감으로 인해 열이 나면 코로나 검사를 받아야 한다고 생각들 하셔서 그런것 같습니다.
881,"카페, 식당에서는 마스크 벗어도 되나요?",네 그렇습니다.
882,마스크를 잠시 벗을 때는 어떻게 보관해야 하나요?,열이 나면 우선 코로나 검사를 받고 음성판정이 나와야 진료가 가능합니다.
883,노래방에서 노래 부를 때도 써야 하나요?,네 그렇습니다.
884,면마스크를 써도 되나요?,현재 국내외 여러 제약사에서 진행중이나 시간은 확답을 드릴수가 없습니다.
885,망사 마스크 써도 되나요?,네 편안한 하루 되십시요
886,결혼식장 마스크 착용은 어떻게 해야 하나요?,네 관할청에 통보하여 단속하도록 하겠습니다. 
887,언제까지 마스크를 의무적으로 써야 하나요?,네 바로 단속하도록 하겠습니다. 
888,마스크 착용 의무화 명령을 위반하면 어떻게 되나요?,마스크 무료 제공 등 여러 방면으로 조치를 취하고 있습니다.
889,회사내 직원이 마스크 미착용 할 경우 회사도 같이 처벌 대상이 되나요?,계도하도록 전달하겠습니다.
890,마스크를 올바로 쓰려면 어떻게 해야 하나요?,네 편안한 하루 되십시요
891,그러면 마스크 안에 수건이나 휴지를 넣어서 밀착 시키면 되나요?,네 그렇습니다. 
892,마스크에 손을 대게 되면 어떻게 해야 하나요?,바로 조취하도록 전달하겠습니다.
893,벗을 때는 어떻게 하나요?,네~
894,버릴 때는 어떻게 버리나요?,고체 비누로 인한 감염은 걱정하지 않으셔도 됩니다.
895,마스크 발수력들이 궁금합니다.,네 30초 이상 흐르는 물에 씻으면 문제 없습니다. 
896,면마스크의 발수력은요?,물로만 씻는 것 보다는 비누를 사용해 씻는 것이 감염 예방에 훨씬 효과적입니다. 
897,덴탈마스크의 발수력은요?,감사합니다. 
898,kf80의 발수력은요?,네 그렇습니다.
899,kf94 99는 언제 쓰죠?,외출 후 비누를 사용해 흐르는 물에 30초 이상 씻으시면 됩니다.
900,10월부터 마스크 안쓰면 벌금은 낸다고 들었는데 언제 부터일까요?,아닙니다. 손을 제외한 다른곳에서도 바이러스가 검출 될 수 있습니다.
901,과태료는 얼마예요?,손이 외부 환경에 가장 많이 노출되어 있기 때문입니다. 
902,계도 기간은 없나요?,네 그렇습니다.
903,마스크 써야할 장소가 따로 있는건가요?,"아닙니다. 바이러스가 눈과 코, 입 등으로 들어갈 경우 감염됩니다. "
904,예를 들어 어떤 장소인가요?,네 그렇습니다.
905,요즘 집회 시위 때문에 확진자가 늘어나는데요. 마스크 착용 하지 않음 안되는 법이 따로 있을까요?,네 외출 후에는 몸 전체를 씻으시는것이 가장 좋습니다.
906,불특정 다수가 모이거나 감염이 취약한 이용자가 모이는 곳에서는마스크 착용이 의무여야 할텐데 그것도 정해졌는지요?,네 감사합니다.
907,주점 영화관 예식장은요?,네 사용하고 있습니다.
908,혹시 피치못해 쓰지 못할 경우 제외되는 대상이 있나요?,네 렘데시비르와 덱사메타손을 처방받은 것으로 알려졌습니다.
909,마스크를 쓰는 방법이 있을까요?,네 우리나라의 경우 지난 5월 부터 중증환자에게 사용하고 있습니다.
910,비말차단용 보건용 수술용 마스크는허용 되나요?,10월15일 기준 총 296명입니다.
911,망사용 마스크나 밸브형 마스크는요?,그중 16명은 사망하였습니다.
912,스카프형으로 되어있는 것도 있는데 가능한가요?,특정약 투약만으로 연관짓기는 어려운 부분입니다.
913,이렇게 마스크 착용이 의무화 되고 있는 나라가 또 있나요? ,현재 승인된 다른 코로나 치료제는 없습니다.
914,마스크 쓸 때 권장하는 방법이 있나요?,네 현재 국내외 제약사에서 활발히 연구중에 있습니다.
915,어떻게 써야 하나요?,네 공감하는 부분입니다.
916,물을 받아 놓고 쓰는 건 안되나요?,네 편안한 하루 되십시요.
917,손을 씻은 다음에는 어떻게 해야 하나요?,공정하고 신속한 정보로 실시간 집계되고 있습니다.
918,마스크 끈을 귀에 걸기만 하면 되는거 아닌가요? ,정부에서는 의료인의 판단에 개입할 수 없습니다. 
919,그러면 어떻게 써야 완전히 밀착시킬 수 있나요?,의료인 또한 정부에 의해 환자에게 해를 끼칠 수 없습니다. 
920,마스크 안에 휴지를 넣어서 밀착시키는 건 어떤가요?,현재 해외에서 입국시 코로나 검사와 격리관찰하고있으며 원활하게 관리되고있습니다.
921,그건 왜 안되나요?,가을이후 코로나19를 비롯 독감 확산 또한 우려되어 마스크는 필히 착용하셔야 합니다.
922,쓰고 있는 동안 주의 사항이 있나요?,국내외 의료기관에서 최선을 다해 개발중에 있습니다.
923,벗을 때는 어떻게 해야 하나요?,정부에서는 올해에 백신이 개발될 수있도록 속도를 내고 있습니다. 하지만 여러 검증절차로 시간이 걸릴것으로 예상됩니다.
924,코로나19 때문에 스트레스를 너무 받는거 같아요.,막힌 공간에서 바이러스가 더욱 확산되고 있습니다. 
925,저같은 사람이 많이 있나요?,타인의 안전을 위해 배려하는것이 본인을 지키는 길입니다. 힘드시더라도 마스크 착용부탁드립니다.
926,어떤 증상이 주로 나타나나요?,"네, 좋은 날 되세요."
927,이 스트레스를 좀 풀 수 있는 방법이 없을까요?,그러시군요
928,믿을 만한 정보요?,코로나 블루도 힘드시네요
929,그리고 또 간단하게 할 수 있는 게 있을까요?,힘드시겠어요. 
930,혹시 전문적으로 도움을 받을 수 있는 곳이 있을까요?,과도한 걱정이 불안감을 증폭시키는 것입니다.
931,"전화는 부담되고요, 사이트 같은 건 없을까요? ",생활습관을 올바르게 하시는 부분입니다 아침에 규칙적인 시간에 일어나셔야하고 낮에는 눕지 않고 식사를 잘하시고 집안에서도 운동을 하셔야합니다.
932,우리집 애가 코로나때문에 너무 힘들어 해요.,고립되어 있다는 생각을 안하는것이 중요합니다 지인과의 전화통화를 한다든지 하는 방법도 도음이 됩니다.
933,"잘못된 정보를 어디서 듣고 불안해 하는 것 같은데, 어떻게 할 까요?",완치가 되었기에 면역이 생겼을 것이라고 생각하기 쉬운데 아직 확실하지 않습니다. 바이러스에 재노출 될 여지가 있음을 염두해 두셔야합니다.
934,전문적인 도움을 받을 수 있는데가 있을 까요?,완치 되셨으니 그 동안 해 오던 근무를 잘 수행 하시는 것이 정신건강에도 도움이 됩니다. 
935,우선은 정보를 좀 얻고 싶은데요. ,힘들지만 나의 스트레스나 위생을 신경써서 코로나19를 이겨 내야 겠습니다.
936,우리 애처럼 스트레스 받는 사람이 많은가요?,"네, 말씀하세요."
937,어떤 어떤 증상이 있나요?,아닙니다. KF80 정도의 보건용 마스크로도 충분 합니다. 
938,그럼 어떻게 대처해야 하나요?,"주로 사람간 밀접접촉에 의한 비말 전파를 통해 감염되는데, 비말 감염은 KF80으로도 충분히 막을 수 있습니다. "
939,그래도 안되면 어떻게 하나요?,N95처럼 차단율 높은 마스크를 썼을 때 호흡곤란이 생기는 등 마스크를 지속적으로 못 쓸 수가 있습니다. 
940,집사람이 코로나19에 너무 민감합니다.,"네, 그래서 차단율이 낮더라도 마스크를 지속적으로 사용하는 것이 더 좋습니다."
941,코로나19 우울증이요?,또한 마스크를 제대로 착용하는 중요합니다.
942,어떻게 대처해야 하나요?,가장 자리가 헐렁하지 않도록 꽉 조여서 제대로 잘 써야 합니다. 
943,그렇겠네요. 또 다른 도움될 만한 것이 있을 까요?,"마스크 착용 전 손을 비누로 씻은 뒤 착용하고, 착용 중에는 만지지 말고 사용해야 합니다."
944,"집사람같은 사람이 많다고 하셨는데, 그럼 전문적으로 안내해 주는 곳이 있나요?",벗을 때는 귀쪽을 감싸는 고무줄을 잡고 벗은 후에는 즉시 폐기 후 손을 잘 씻어야 합니다.
945,"아, 그렇겠네요. 혹시 그러면 앱같은것도 있을까요?",모쪼록 올바른 마스크 착용으로 건강한 생활 하시기 바랍니다.
946,앱이 있었네요. 주요 기능이 뭔가요?,"네, 말씀하세요"
947,구글플레이에서 마음프로그램으로 찾으면 되나요?,경우에 따라 다릅니다.
948,어디서 만든건가요?,감염 우려가 높지 않거나 보건용 마스크가 없을 경우 도움이 됩니다. 
949,안녕하세요. 코로나 때문에 걱정되서 전화했는데요?,"타인의 기침, 재채기로 인한 비말이 직접 닿지 않도록 방지 할 수 있습니다. "
950,이거 진짜 마스크만 쓴다고 완벽하게 예방할 수 있나요?,감염의심자와 접촉 등 위험성이 존재하는 경우와 기저질환자 등의 고위험군의 경우 보건 마스크를 착용하시는 편이 좋습니다.
951,손씻기 요령이 있나요?,정전기 필터를 달면 더 효과가 좋습니다.
952,기침예절에 대해 알려주시곘어요?,"미세입자를 평균 80%에서 95% 까지 차단할 수 있어, KF80 보건용 마스크와 비슷한 효과를 보이게 됩니다. "
953,2m거리를 지키지 못 할 경우는 어떻게 하나요?,16%에서 22%정도를 차단합니다. 
954,아프면 3-4일 쉬라고 하는데 자가격리할때 처럼 지내야 하나요?,필터가 조금이라도 찢어지거나 젖었을 경우에는 새 필터로 교체해야 합니다.
955,열이 나면 무조건 집에서 3-4일 쉬어야 하나요?,"네, 올바른 마스크 착용으로 건강한 생활 하시기 바랍니다."
956,독감일 수도 있잖아요?,"네, 말씀해주세요"
957,안녕하세요. 거리두기에 대해 궁금한게 있는데요?,아닙니다. 마스크는 어떻게 착용하는 가와 효율에 따라 결정되는 것으로 넓게 가려주는 것과는 무관합니다. 
958,실내에서 환기만 제대로 하고 2m 유지만 제대로 하면 괜찮을까요?,얼마나 미세한 입자를 걸러 줄 수 있는지를 의미 합니다. 
959,그럼 마스크를 쓰고 있어도 거리두기가 중요한가요?,보호 효과가 있다고 말씀드리기 어렵니다.
960,이런데서는 어떻게 해야하나요?,"코와 입, 턱이 잘 가려지면 되고, 마스크를 얼마나 차폐가 잘 되게끔 착용하는 것이 가장 중요합니다."
961,그럼 야외에서는 괜찮은가요?,"네, 그렇습니다."
962,엘리베이터 같은곳에서는요?,원칙적으로는 재사용하면 안됩니다. 부득이하게 재사용할 경우에도 건조만 하셔야 합니다.
963,손 소독제 사용만으로 코로나 19 예방이 되나요?,"전자레인지, 알코올 소독, 헤어드라이기를 사용할 경우 정전기 필터의 성능이 떨어지므로 사용하면 안됩니다."
964,소독제 사용 요령이 있나요?,최대한 바깥면과 손이 닿지 않게 접어서 버려야 합니다. 
965,손씻기 요령을 알려주세요.,그리고 버린 후에는 꼭 올바른 방법으로 손을 씻어야 합니다. 
966,올바른 손씻기 6단계라는게 있던데 뭔가요?,10초간 숨참기와 코로나는 관련이 없습니다.
967,손을 얼마나 자주 씻어야 하나요?,코로나19에 걸린다고 해서 모두 폐가 망가지는 것은 아니며 그렇게 심하지않은 것으로 나타났습니다. 
968,어떤 상황에서 손을 씻어주어야 하나요?,"폐가 망가지는 것을 폐섬유화라 하는데, 진단법에 10초간 숨참기가 없습니다."
969,공공장소에 있는 비누는 쓰기 좀 그런데 써도 괜찮나요?,아직까지 확실한 치료약이나 치료법은 없습니다. 
970,손씻기말인데요?,"환자의 증상을 완화하기 위한 치료를 하고 있으며, 증상이 심각한 경우 생명유지 기능을 보조할 수 있는 치료를 하고 있습니다. "
971,왜 30초 이상 씻어야 하나요?,렘데시비르는 원래 에볼라 바이러스 치료제로 만든약입니다. 
972,그냥 비누 묻혀서 깨끗해지면 몇초 씻는지는 상관없는거 아닌가요?,"증상이 개선된 경우도 있지만, 사망, 부작용도 나타났습니다."
973,그럼 그냥 물로만 씻을때는요?,"네, 장기능 장애, 저혈압등의 부작용을 보였습니다. "
974,더러운게 묻지 않은 이상 그냥 물로만 씻어도 될 것 같은데요?,"네, 예방이 최선입니다. "
975,"그럼, 손씻기를 올바르게 하는 방법을 알려주세요.",예방으로 건강한 생활 하시길 바랍니다.
976,안녕하세요. 궁금한게 있는데요?,우선은 출근이나 등교 등의 외출을 자제하고 집에서 쉬면서 3~4일 지켜봐야 합니다.
977,휴지로 입을 가릴때랑 옷소매로 가리는거랑 어떤게 더 나은가요?,"마스크를 착용하시고, 2m 거리 두기를 하시기 바랍니다."
978,휴지가 없으면요?,38도 이상의 고열을 비롯한 심한 기침등이 계속 나타날 수 있습니다.
979,그럼 옷소매로 가리면 소매부분도 소독해야 하나요?,"근처의 선별진료소를 방문하거나, 1339, 관할 보건소에 상담을 요청하시면 됩니다."
980,집에서도 마스크를 꼭 쓰고있어야 하나요?,의사 환자에 해당되면 본인 부담금이 발생하지 않습니다. 
981,마스크 한 번 쓰고 버리기 아까운데 재사용해도 되나요?,"확진환자와 접촉한 후 14일 이내에 발열 또는 기침, 호흡곤란 등의 호홉기 증상이 나타난 분을 의미 합니다."
982,그럼 짧게 쓰면 몇 번 재사용 해도 상관없겠네요?,"일반 진찰, X-ray 검사 등 다른 진료비용에 대해서는 본인 부담금이 발생합니다. "
983,안녕하세요. 코로나에 환기를 자주 시키면 좋다고 들었는데요.,"유전자 검사는 6시간 정도 걸립니다만, 검체 이송, 의뢰등의 시간으로 하루나 이틀 정도면 결과를 받으실 수 있습니다."
984,황사나 미세먼지가 심한 날에는 어떻게 하면 되나요?,검체 채취가 가능한 선별 진료소에서 검사를 받으실 수 있습니다.
985,공기청정기가 있는데 얘로 환기하면 안되나요?,https://www.mohw.go.kr/react/popup_200128.html 에서 검체채취 가능 진료소를 보시면 됩니다.
986,환기시키면 공기 통해서 전염될 수도 있지 않을까요?,고열 증세를 갖고 있는 환자들을 식별하는 데는 효과적입니다. 
987,아파트 승강기 버튼에 향균필름 붙여놓는건 효과가 있나요?,"고열 증세가 없거나, 잠복기에 있는 환자는 식별이 불가능 합니다."
988,가정에서 할 수 있는 소독법에는 뭐가 있을까요?,"네, 그렇습니다. 그렇기 때문에 예방이 최선입니다."
989,소독제 많이 쓰다보면 인체에 해롭지 않나요?,밀접 접촉에는 6가지 기준이 있습니다.
990,마스크 재사용에 대해 궁금한게 있는데요?,"확진자와 같은 집에 사는 것, 체액에 접촉하는 것, 대면 접촉, 기침할 때 같은 공간에 있는 것, 1미터 이내 거리에서 15분 이상 대면 접촉, 개인 보호구 없이 확진자를 돌보는 것을 의미 합니다."
991,한 번 쓴 마스크에 소독제를 뿌려서 여러 번 써도 될까요?,확진자의 증상 발생 2일전 부터를 기준으로 하고 있습니다. 
992,"그렇군요, 그럼 앞으로 지인들과 대면모임은 못하는 건가요?",외출 자제하시고 3~4일 증상을 지켜봐야 합니다.
993,코로나 19에 관한 루머를 접하게 되면 어떻게 하면 될까요?,"38도 이상의 고열이 나타날 수 있고, 심한 기침, 무기력감등의 증상이 나타날 수 있습니다."
994,독감백신이 코로나에 도움이 될까요?,"1339로 전화 하시거나, 관할 보건소에 상담하시면 후속 조치를 알려드릴 겁니다. "
995,똑같은 바이러스 아닌가요?,건강한 하루 되시기 바랍니다. 
996,독감을 안맞아도 되는건가요?,"혼잡하지 않은 야외, 가정, 그리고 개별 공간에서는 마스크를 착용하지 않아도 됩니다."
997,예방법이 있을까요?,"집에서 같이 생활하는 분들 중에서 열이 나거나 호흡기 증상이 있는 분이 계실 경우, 집안에서도 마스크를 착용해야 합니다. "
998,마스크 밖에 없나요?,"오염 우려가 적은 곳에서 일시적으로 사용한 경우, 환기가 잘 되는 깨끗한 곳에 보관한 후 동일인에 한하여 재사용이 가능합니다. "
999,마스크 원리는 무엇이죠?,환기를 통해 코로나19 바이러스가 들어있는 침방울의 공기 중 농도를 낮출 수 있습니다.
1000,실내에서는 효과적이겠네요?,미세 먼지가 심한 날에도 주기적으로 환기를 하는 것이 좋습니다. 
1001,마스크 의무착용은 언제부터이죠?,"환기를 하지 않으면, 오히려 유해 성분등이 축적되어 실내 공기 질이 나빠집니다."
1002,벌금도 있나요?,공기청정기와 관계없이 하루 2회 이상 주기적 환기를 권장합니다.
1003,그거밖에 안되요?,공기청정기 필터로 코로나19 바이러스를 걸러낼 수 있다는 보고가 아직까지는 없습니다.
1004,마스크가 지금 품절이래요,코로나19 바이러스는 비말을 통해서 감염되는 것으로 알려져 있습니다. 공기를 통한 감염은 보고된 바가 없습니다. 
1005,2개만 살 수 있어요?,"네, 집안에서 꼭 주기적으로 환기를 해 주시기 바랍니다."
1006,사용한 마수크를 또 써도 되는건가요?,벗을 때 겉면이 손에 닿지 않도록 조심히 벗어야 합니다.
1007,어디서 사요?,"겉면에 오염물질이 묻어 있을 수 있어서, 마스크를 썼어도 손으로 인한 감염이 발생할 수 있습니다."
1008,인터넷에서도 살수있어요?,종량제 봉투에 버리시면 됩니다.
1009,마스크 문의요.,"네, 마스크는 재질에 관계없이 종량제 봉투에 버리시면 됩니다."
1010,"마스크 비싸요, 일회용아닌가요?", 마스크를 반으로 접은 후 끈으로 묶어서 버리셔야 합니다.
1011,두번쓰면 안되요?,"한번 사용한 마스크를 그냥 버리면 다른 사람이 감염될 수 있어서, 반으로 접어서 버려 주세요."
1012,마스크 쓰는 방향이 따로 있나요?,"보건용, 수술용, 비말 차단용, 면 마스크 모두 가능합니다."
1013,주름이 아래요?,식품의약품안전처가 허가한 의약외품 마스크 착용을 적극 권장하고 있습니다.
1014,벗을때는요?,"KF94는 의심환자를 돌보는 경우, KF80은 증상이 있는 경우, 기저질환 환자가 착용합니다."
1015,왜죠?,비말차단용 또는 수술용 마스크를 쓰시면 됩니다.
1016,상담이 필요한데요. 이상하다 생각마시고요. 질병관리청이 맞죠?,마스크 착용 의무화 행정명령이 내려진 상황이라 꼭 착용하셔야 합니다.
1017,제가 있는 학원에서 코로나 의심환자가 나왔어요. 어떻게 해야하질가 막막한데 어떻게 하면 되나요?,"네, 마스크 착용 시 감염 위험이 85% 감소 되는 것으로 보고 되고 있습니다. "
1018,제가 안전하기 위해서는 꼭 말씀드려야 겠는 것이겠지요?,"승용차 안에서 확진자와 1시간 동승했으나 마스크를 사용해서 전원 음성이 나온 경우가 있고, 확진자가 28명 발생했던 카페의 종사자 4명이 마스크로 인해서 전원 음성이 나왔습니다."
1019,진짜 가야되요? 가면 돈 내야 한다면서요. 아직 괜찮은 것 같기도 한데요.,"실내 기준으로는 버스, 지하철, 선박, 항공기등의 운송수단, 건축물 및 사방이 분리되어 있는 모든 구조물안에서 마스크를 써야 합니다."
1020,안녕하십니까. OO대학의 학생입니다. 궁금한 것이 있어서 연락했어요.,"집합, 모임, 행사 등 다중이 모여 사람과 접촉하는 경우에 써야 합니다."
