q,a
정말 다행입니다. 저는 치료받을 수 있겠네요.,조건을 설명드리지 않았습니다.
일단 들어보도록 하겠습니다. 무슨 조건 인지,담당 의사에게 협조를 해야하며 지자체의 지시에 따라야 한다는 것 입니다.
난 또 뭐라구요. ,불이익에 관련하여 내용을 아직 안드렸습니다. 다시 안내해드리겠습니다.
정말 궁금하게 만드시는 불이익이네요?,지원이 중단될 수 있단은 것을 말씀드립니다.
전부 지원이 중단된다는 것 인가요?,지원금이 사라지는 것 입니다. 의료비가 많이 드는 것을 감안하면 엄청난 불이익이죠.
무엇을 지시하는 지 알아야지 지시를 지키든지 말든지 하지 그냥 막 지원을 중단한다고 한다면 되나요? ,죄송한 말씀은 그것에 대한 가이드라인이 없다는 것 입니다.
빠르게 안내 해 주셨다면 더 좋았을 텐데… 거의 천국과 지옥을 왔다리 갔다리 한것 같았습니다.,"유익한 정보 되셨길 바라며, 상담원 OOO이었습니다."
코로나 비용이 어떻게 처리되는지 궁금해서 연락드렸습니다. 어떻게 해야 하지요?,안녕하십니까. 질병관리청입니다. 치료비에 대한 지원 방안 문의 이신가요? 
코로나 감염자에 대한 치료비 지원이 맞는 것 같습니다.,"확인했습니다. 고객님, 답변 감사합니다. 그렇다면 안내를 도와드리도록 하겠습니다."
제발 지원금이 있다고 말해주면 고마울 것 같아요.,걱정하지 않으셔도 됩니다. 국가에서는 코로나 치료비를 지원하고 있습니다.
정말 다행입니다. 저는 치료받을 수 있겠네요.,아직 설명이 끝나지 않았습니다. 조건 이 있습니다.
정말 있어요?,네 말씀드리도록 하겠습니다. 담당의 또는 지자체에 협조해야 한단은 조건입니다.
깜짝 놀랐잖아요. 심장 떨어지는 줄 알았네요.,강조를 하기 위해서 이렇게 안내해 드렸습니다. 이 조건에는 불이익이 발생하게 됩니다.
불안하게 왜그러세요?,코로나 치료 비용을 지원하지 않는 다는 것이 불이익 입니다. 국가 및 지자체에서 말씀입니다.
엄청난 불이익이네요. 지원비가 완전 중단된다는 말씀을 하신거 맞죠?,지원금이 사라지는 것 입니다. 의료비가 많이 드는 것을 감안하면 엄청난 불이익이죠.
무엇을 지시하는 지 알아야지 지시를 지키든지 말든지 하지 그냥 막 지원을 중단한다고 한다면 되나요? ,죄송하지만 지시에 대한 안내 사항은 없습니다.
아닙니다. 이때 까지 안내를 도와주셔서 고마워요.,감사합니다. 상담원 OOO이었습니다.
코로나 비용 관련해서 문의 드릴려고 전화했습니다. 어쩌면 좋아요?,코로나 감염병 치료비 지원 방안에 대한 질문으로 이해하였습니다. 맞습니까?
저는 국가에 대한 지원 방안에 대해서 연락 드린 것이구요. 꼭 잘 안내해 줘서 있다면 받고 싶습니다.,"네 알겠습니다. 고객님, 이제부터 안내를 도와드리도록 하겠습니다."
지원금이 있다고 말해줄려고 하는 거라면 정말 감사하게 들을 거에요.,코로나 치료비는 국가에서 지원해 드립니다. 
안심하게 되네요. 큰 돈이 나갈까봐 얼마나 걱정했는지요.,"단, 조건이 있습니다."
어떤 조건 인지에 따라서 제 감정이 정말 많이 변화할 것 같네요.,네 말씀드리도록 하겠습니다. 담당의 또는 지자체에 협조해야 한단은 조건입니다.
깜짝 놀랐잖아요. 심장 떨어지는 줄 알았네요.,"다시 설명드리자면, 이 조건을 지키지 않을 경우 불이익이 발생합니다."
불이익이라는 것이 무엇인지 저한테 빠르게 설명해 주실 수 있겠습니까?,코로나 치료 관련 비용에 대하여 이전 치료비까지 소급하여 지원을 중단 할 수 있다는 내용이 불이익입니다.
전액이요?,격리 입원 치료비가 중단됩니다. 사실상 전액 지원 중단입니다.
일단 진정하고 말씀드리자면 지시가 무엇이길래 이렇게 불이익이 강한 것이지요?,지시를 지키는 것에 대한 안내는 따로 없습니다. 
일단 알겠습니다. 다음에 또 연락 드리지요.,"도움이 되셨길 바라며, 상담원 OOO이었습니다."
코로나 비용 관련해서 문의 드릴려고 전화했습니다. 어쩌면 좋아요?,치료비에 대한 정부 지원을 주제로 문의하신 것이 맞으신가요?
코로나 치료 비용에 관한 질문을 드렸습니다. ,"확인했습니다. 고객님, 답변 감사합니다. 그렇다면 안내를 도와드리도록 하겠습니다."
예,국가에서는 법률로 코로나 치료비 지원을 규정했습니다. 
좋습니다. 아주 좋습니다. 국가에 대한 믿음이 생기는 군요.,방심은 금물입니다. 이 법률에는 조건이 있습니다.
좀 빨리 말해주었으면 이렇게 마음 졸일 일이 없었을 거라 생각하는데요.,잘 들어주시길 바랍니다. 조건은 지자체 및 담당 의사의 지시에 협력해야 한다는 조건이 있습니다.
걱정했잖아요. 뭐 별거라고.,불이익이 발생할 수 있는 조건이라서 꼭 더 들으셔야 합니다. 
갑자기 긴장이 되는데요?,코로나 치료 관련 비용을 지원하지 않는 다는 것이 불이익 입니다.
완전히 지원이 중단된다는 것인가요? 오메나.,코로나 확진 판정을 받으시면 격리 입원되야 하기 때문에 거의 전액 지원 중단된다고 볼 수 있습니다.
지시에 대한 메뉴얼 이라도 있으니까. 이렇게 강하게 불이익을 주는 것이겠지요?,저도 아직 그것에 대해서 설명을 들은 적이 없습니다. 그래서 안내를 해 드릴 수 없습니다.
정말 오늘 심장이 버티질 못하겠네요. 어 여쭈어 보았다가는 심장이 견디지 못할 것 같아요.,"유익한 정보 되셨길 바라며, 상담원 OOO이었습니다."
코로나 치료 비용을 어떻게 청구 하는지 궁금해서 연락드렸습니다. 저랑 직접적으로 연관된 문제이기 때문에 좀 알고 싶습니다. 알려 주실꺼죠?,정부에서 제공하는 치료비 지원에 관한 질문을 하신것이 맞으신가요? 고객님?
다시 말씀드리면 코로나 치료 관련 지원금에 대한 문의입니다.,"확인했습니다. 고객님, 답변 감사합니다. 그렇다면 안내를 도와드리도록 하겠습니다."
제발 지원금이 있다고 말해주면 고마울 것 같아요.,코로나 치료비는 국가에서 지원해 드립니다. 
좋습니다. 아주 좋습니다. 국가에 대한 믿음이 생기는 군요.,"단, 조건이 있습니다."
일단 들어보도록 하겠습니다. 무슨 조건 인지,의사나 지자체의 지시에 협조를 해야 한다는 것이 조건입니다.
아이고 상담사님 놀라게 하는 방법도 여러가지 입니다. 이건 당연한 조건 이잖아요.,강조를 하기 위해서 이렇게 안내해 드렸습니다. 이 조건에는 불이익이 발생하게 됩니다.
갑자기 긴장이 되는데요?,지자체 및 국가에서 코로나 치료비 지원을 하지 않는 다는 안내를 드립니다.
완전히 지원이 중단된다는 것인가요? 오메나.,지원 제한의 대상은 격리 입원 치료비 입니다. 
맞네 전액이네. 큰일났네요. 그렇다면 지시는 무엇인가요?,지시에 대한 별도의 안내를 저도 설명 받은 적이 없습니다. 
네 알겠습니다. 안내 감사합니다. ,"도움이 되셨길 바라며, 상담원 OOO이었습니다."
가족 중에서 코로나 감염병에 걸린 사람이 있습니다. 그런데 코로나 치료 비용을 어떻게 해결해야 하는지 몰라서 연락드렸습니다. 코로나 치료 비용은 어떻게 해야 하나요?,치료비에 대한 정부 지원을 주제로 문의하신 것이 맞으신가요?
넵. 말씀드리자면 코로나 치료 비용 관련한 문의였어요. 지원방안이 없는지 궁금해서요.,답변 감사합니다. 안내를 도와드리도록 하겠습니다.
조금 기대하고 있습니다. 빨리 알려주세요.,국가 및 지자체에서는 법령으로 코로나 치료 지원을 해드리고 있습니다.
대한민국 국민이여서 아주 좋군요.,죄송하지만 아직 조건에 대해서 말씀드리지 않았습니다.
그래서 조건이 뭡니까?,보건 당국의 지시에 협조해야 한다는 것 입니다. 이것이 조건입니다.
좀 심각하지 않은 말씀을 심각하게 말씀하시는 능력이 있는 것 같아요.,죄송하지만 불이익이 발생할 수 있는 조건이기 때문에 말씀을 드려야 했습니다.
괜히 궁금해 지네요. 뭔가요? 불이익 이라는게,불이익을 안내해 드리겠습니다. 그것은 코로나 치료 비용이 중단되어 자가 부담을 해야 한다는 것 입니다.
완전히 중단된다는 말씀을 하시는 건가요?,정확하게 말씀드리면 격리 입원 치료비 입니다.
일단 진정하고 말씀드리자면 지시가 무엇이길래 이렇게 불이익이 강한 것이지요?,지시에 대한 별도의 안내를 저도 설명 받은 적이 없습니다. 
지시 사항이 없다니.. 조금만 자세했으면 좋았을 텐데요 조금 아쉽습니다. ,감사합니다. 상담원 OOO이었습니다.
가족 중에서 코로나 감염병에 걸린 사람이 있습니다. 그런데 코로나 치료 비용을 어떻게 해결해야 하는지 몰라서 연락드렸습니다. 코로나 치료 비용은 어떻게 해야 하나요?,코로나 감염병 치료비 지원 방안에 대한 질문으로 이해하였습니다. 맞습니까?
코로나 치료비에 대한 질문 맞구요. 이게 어떻게 되는지 궁금해서 연락드렸습니다.,답변 감사합니다. 안내를 도와드리도록 하겠습니다.
안내해 주세요.,걱정하지 않으셔도 됩니다. 국가에서는 코로나 치료비를 지원하고 있습니다.
오 다행이다. ,조건을 설명드리지 않았습니다.
그래서 조건이 뭡니까?,상식적인 조건일 수 있습니다. 지자체 및 선생님 담당 의사의 지시에 따라야 한다는 조건입니다.
당연히 지켜야 하는 행동이라고 생각합니다.,아직 안내를 덜드렸습니다. 불이익에 관한 내용입니다. 
불이익이라는 것이 무엇인지 저한테 빠르게 설명해 주실 수 있겠습니까?,불이익을 안내해 드리겠습니다. 그것은 코로나 치료 비용이 중단되어 자가 부담을 해야 한다는 것 입니다.
전액이요?,정확하게 말씀드리자면 격리 입원 치료비인데요. 거의 100% 가깝게 격리 입원 치료를 받게되니 전액이라는 표현이 맞을 것 같습니다.
맞네 전액이네. 큰일났네요. 그렇다면 지시는 무엇인가요?,지시를 지키는 것에 대한 안내는 따로 없습니다. 
일단 알겠습니다. 다음에 또 연락 드리지요.,"유익한 정보 되셨길 바라며, 상담원 OOO이었습니다."
코로나에 감염되서 확진자 판정을 받은 사람입니다. 코로나 치료 비용을 어떻게 해야 하나요?,치료비에 대한 보험의 급여처리에 대한 부분인가요? 아니면 치료비 지원에 관한 질문이신 가요?
치료비에 대한 지원 방안 질문이 맞습니다. 안내해 주시면 감사하겠습니다.,네 그렇다면 코로나 감염자에 대한 치료비 지원 방안에 대해서 안내해 드리겠습니다.
안내해 주세요.,코로나 관련하여 치료 비용 지원은 지자체에서 진원을 도와드리고 있습니다.
오 다행이다. ,"단, 조건이 있습니다."
한번에 말해주면 얼마나 좋나요.,보건 당국의 지시에 협조해야 한다는 것 입니다. 이것이 조건입니다.
깜짝 놀랐잖아요. 심장 떨어지는 줄 알았네요.,아직 안내를 덜드렸습니다. 불이익에 관한 내용입니다. 
어떤 것이 발생 하길래 이렇게 말씀하시는 건가요?,불이익은 지원을 하지 않는 다는 것 입니다.
설마 코로나 치료비가 전부 지원 중단된다는 것은 아니겠지요?,격리 입원 치료비가 중단되는 겁니다. 이것이 불이익의 대상입니다.
지시에 대한 메뉴얼 이라도 있으니까. 이렇게 강하게 불이익을 주는 것이겠지요?,지시에 대한 가이드라인은 아직 없습니다.
빠르게 안내 해 주셨다면 더 좋았을 텐데… 거의 천국과 지옥을 왔다리 갔다리 한것 같았습니다.,고맙습니다. 상담원 OOO이었습니다.
코로나 치료 비용을 어떻게 청구 하는지 궁금해서 연락드렸습니다. 저랑 직접적으로 연관된 문제이기 때문에 좀 알고 싶습니다. 알려 주실꺼죠?,코로나 감염병 치료비 지원 방안에 대한 질문으로 이해하였습니다. 맞습니까?
코로나 치료비에 대한 질문 맞구요. 이게 어떻게 되는지 궁금해서 연락드렸습니다.,"확인했습니다. 고객님, 답변 감사합니다. 그렇다면 안내를 도와드리도록 하겠습니다."
조금 기대하고 있습니다. 빨리 알려주세요.,코로나 치료비는 법률에 의거하여 국가 또는 지자체에서 부담해 드립니다. 걱정하지 않으셔도 됩니다.
다행입니다. 감사합니다.,조건을 설명드리지 않았습니다.
어떤 조건 인지에 따라서 제 감정이 정말 많이 변화할 것 같네요.,잘 들어주시길 바랍니다. 조건은 지자체 및 담당 의사의 지시에 협력해야 한다는 조건이 있습니다.
당연히 지켜야 하는 행동이라고 생각합니다.,불이익에 관련하여 내용을 아직 안드렸습니다. 다시 안내해드리겠습니다.
불이익이라는 것이 무엇인지 저한테 빠르게 설명해 주실 수 있겠습니까?,코로나 치료 관련 비용에 대하여 이전 치료비까지 소급하여 지원을 중단 할 수 있다는 내용이 불이익입니다.
엄청난 불이익이네요. 지원비가 완전 중단된다는 말씀을 하신거 맞죠?,코로나 확진 판정을 받으시면 격리 입원되야 하기 때문에 거의 전액 지원 중단된다고 볼 수 있습니다.
엄청나서 할말이 없네요. 진짜료. 그럼 지시는 뭔가요? 설마 없는 건 아니겠죠?,제가 지시에 대해서 질문은 받은 적이 없어서요. 상부에 질문을 넣어서 알려드리 도록 노력해 보겠습니다.
네 알겠습니다. 안내 감사합니다. ,"좋은 하루 되시길 바라며, 상담원 OOO이었습니다."
코로나 비용이 어떻게 처리되는지 궁금해서 연락드렸습니다. 어떻게 해야 하지요?,코로나 감염병 치료비 지원 방안에 대한 질문으로 이해하였습니다. 맞습니까?
코로나 감염자에 대한 치료비 지원이 맞는 것 같습니다.,"확인했습니다. 고객님, 답변 감사합니다. 그렇다면 안내를 도와드리도록 하겠습니다."
제발 지원금이 있다고 말해주면 고마울 것 같아요.,국가에서는 법률로 코로나 치료비 지원을 규정했습니다. 
정말 다행입니다. 저는 치료받을 수 있겠네요.,조건이 있는데 말씀드리지 못했습니다.
진짜요?,의사나 지자체의 지시에 협조를 해야 한다는 것이 조건입니다.
아이고 상담사님 놀라게 하는 방법도 여러가지 입니다. 이건 당연한 조건 이잖아요.,불이익에 관련하여 내용을 아직 안드렸습니다. 다시 안내해드리겠습니다.
그럼 불이익이 뭔가요?,코로나 치료 비용을 전액 고객님께서 지실 수 있다는 내용입니다. 이것이 불이익에 대한 내용 입니다.
설마 코로나 치료비가 전부 지원 중단된다는 것은 아니겠지요?,코로나 확진 판정을 받으시면 격리 입원되야 하기 때문에 거의 전액 지원 중단된다고 볼 수 있습니다.
맞네 전액이네. 큰일났네요. 그렇다면 지시는 무엇인가요?,저도 아직 그것에 대해서 설명을 들은 적이 없습니다. 그래서 안내를 해 드릴 수 없습니다.
다음에 연락 드릴 때는 꼭 자세히 알려주셨으면 좋겠습니다.,"유익한 정보 되셨길 바라며, 상담원 OOO이었습니다."
코로나 치료 비용이 상당하다고 뉴스에 나온다던데요. 어떻게 하면 조금이라도 줄여서 처리 할 수 있나요? 저는 90만원 정도의 돈을 낼 정도의 돈이 없어요.,정확한 도움을 드리기 위하여 한가지 여쭈어 보도록 하겠습니다. 코로나 감염병 치료비에 대한 정부 지원 방안에 대한 질문이 맞으신가요?
"다시 한번 말씀드리자면, 코로나 확진자에 대한 국가 또는 정부의 치료 비용 지원 방안에 대한 질문을 드렸습니다.",코로나 치료 비용에 대한 질문이라는 것을 확인했습니다. 아내 도와드리도록 하겠습니다.
안내해 주세요.,코로나 치료비는 법률에 의거하여 국가 또는 지자체에서 부담해 드립니다. 걱정하지 않으셔도 됩니다.
좋습니다. ,조건이 포함되어 있는 법입니다.
한번에 말해주면 얼마나 좋나요.,네 말씀드리도록 하겠습니다. 담당의 또는 지자체에 협조해야 한단은 조건입니다.
좀 심각하지 않은 말씀을 심각하게 말씀하시는 능력이 있는 것 같아요.,불이익이 발생할 수 있는 조건입니다. 
정말 궁금하게 만드시는 불이익이네요?,지원이 중단될 수 있단은 것을 말씀드립니다.
설마 코로나 치료비가 전부 지원 중단된다는 것은 아니겠지요?,격리 입원 치료비가 중단됩니다. 사실상 전액 지원 중단입니다.
무엇을 지시하는 지 알아야지 지시를 지키든지 말든지 하지 그냥 막 지원을 중단한다고 한다면 되나요? ,지시를 지키는 것에 대한 안내는 따로 없습니다. 
조금 아쉽네요. 먼가 완벽하지 않은 느낌을 받았습니다.,"도움이 되셨길 바라며, 상담원 OOO이었습니다."
안녕하세요 코로나 치료비 관련해서 문의드릴려고 하는데요. 어떻게 하나요?,"치료비에 대한 문의를 주셨는데, 치료비 심사 청구에 대한 문의 이신가요? 아니라면 치료비 지원 구제 방안에 대한 문의이신가요?"
코로나 치료비에 대한 질문 맞구요. 이게 어떻게 되는지 궁금해서 연락드렸습니다.,코로나 치료비에 대한 안내를 도와드리도록 하겠습니다.
네 알겠습니다. 잘 들을께요.,국가 및 지자체에서는 법령으로 코로나 치료 지원을 해드리고 있습니다.
대한민국 국민이여서 아주 좋군요.,조건을 설명드리지 않았습니다.
일단 들어보도록 하겠습니다. 무슨 조건 인지,네 말씀드리도록 하겠습니다. 담당의 또는 지자체에 협조해야 한단은 조건입니다.
당연히 따라야 하지요. 안 따르면 안되 잖아요. 상식 이잖아요.,강조를 하기 위해서 이렇게 안내해 드렸습니다. 이 조건에는 불이익이 발생하게 됩니다.
무섭습니다. 빨리 말씀해주시면 안될까요?,불이익은 지원을 하지 않는 다는 것 입니다.
완전히 지원이 중단된다는 것인가요? 오메나.,코로나 확진 판정을 받으시면 격리 입원되야 하기 때문에 거의 전액 지원 중단된다고 볼 수 있습니다.
지시에 대한 메뉴얼 이라도 있으니까. 이렇게 강하게 불이익을 주는 것이겠지요?,지시를 지키는 것에 대한 안내는 따로 없습니다. 
아닙니다. 이때 까지 안내를 도와주셔서 고마워요.,"도움되는 정보였기를 바라며, 상담원 OOO이었습니다."
가족 중에서 코로나 감염병에 걸린 사람이 있습니다. 그런데 코로나 치료 비용을 어떻게 해결해야 하는지 몰라서 연락드렸습니다. 코로나 치료 비용은 어떻게 해야 하나요?,질병관리청입니다. 치료비 지원에 관련된 말씀이신가요. 치료비 정산에 대한 방법에 대한 질문이신가요?
코로나 감염자에 대한 치료비 지원이 맞는 것 같습니다.,코로나 치료비 지원 방안에 대한 안내를 도와드리도록 하겠습니다.
조금 기대하고 있습니다. 빨리 알려주세요.,코로나 치료비는 국가에서 지원해 드립니다. 
다행입니다. 감사합니다.,조건이 포함되어 있는 법입니다.
그래서 조건이 뭡니까?,다시 안내를 도와드리겠습니다. 방역 당국 또는 의사 또는 지자체의 지시에 협조를 해야 한다는 조건입니다.
좀 심각하지 않은 말씀을 심각하게 말씀하시는 능력이 있는 것 같아요.,죄송하지만 불이익이 발생할 수 있는 조건이기 때문에 말씀을 드려야 했습니다.
그럼 불이익이 뭔가요?,지자체 및 국가에서 코로나 치료비 지원을 하지 않는 다는 안내를 드립니다.
완전히 지원이 중단된다는 것인가요? 오메나.,지원 중단 대상은 격리 입원 치료비 지원에 대한 중단입니다. 
엄청나서 할말이 없네요. 진짜료. 그럼 지시는 뭔가요? 설마 없는 건 아니겠죠?,죄송하지만 지시에 대한 안내 사항은 없습니다.
정말 오늘 심장이 버티질 못하겠네요. 어 여쭈어 보았다가는 심장이 견디지 못할 것 같아요.,"도움 되었길 바라며, 상담원 OOO이었습니다."
안녕하세요 코로나 치료비 관련해서 문의드릴려고 하는데요. 어떻게 하나요?,정확한 도움을 드리기 위하여 한가지 여쭈어 보도록 하겠습니다. 코로나 감염병 치료비에 대한 정부 지원 방안에 대한 질문이 맞으신가요?
저는 국가에 대한 지원 방안에 대해서 연락 드린 것이구요. 꼭 잘 안내해 줘서 있다면 받고 싶습니다.,코로나 치료 비용에 대한 질문이라는 것을 확인했습니다. 아내 도와드리도록 하겠습니다.
알려주시면 감사하겠습니다.,코로나 치료비는 감염병의 예방 및 관리에 관한 법률에 의거하여 국가 또는 지자체에서 부담합니다.
좋습니다. ,"단, 조건이 있습니다."
진짜요?,보건 당국의 지시에 협조해야 한다는 것 입니다. 이것이 조건입니다.
좀 심각하지 않은 말씀을 심각하게 말씀하시는 능력이 있는 것 같아요.,불이익이 발생할 수 있는 조건입니다. 
불이익이라는 것이 무엇인지 저한테 빠르게 설명해 주실 수 있겠습니까?,지원이 중단될 수 있단은 것을 말씀드립니다.
엄청난 불이익이네요. 지원비가 완전 중단된다는 말씀을 하신거 맞죠?,지원 제한의 대상은 격리 입원 치료비 입니다. 
무엇을 지시하는 지 알아야지 지시를 지키든지 말든지 하지 그냥 막 지원을 중단한다고 한다면 되나요? ,지시에 대한 가이드라인은 아직 없습니다.
다음에 연락 드릴 때는 꼭 자세히 알려주셨으면 좋겠습니다.,고맙습니다. 상담원 OOO이었습니다.
안녕하세요 코로나 치료비 관련해서 문의드릴려고 하는데요. 어떻게 하나요?,정부에서 제공하는 치료비 지원에 관한 질문을 하신것이 맞으신가요? 고객님?
코로나 치료비에 대한 질문 맞구요. 이게 어떻게 되는지 궁금해서 연락드렸습니다.,"확인했습니다. 고객님, 답변 감사합니다. 그렇다면 안내를 도와드리도록 하겠습니다."
네,코로나 치료비는 국가 또는 지자체에서 지원해드리고 있으니 안심하고 있으셔도 됩니다.
좋습니다. ,안심하기는 이릅니다. 조건을 설명 안드렸기 때문입니다.
진짜요?,보건 당국의 지시에 협조해야 한다는 것 입니다. 이것이 조건입니다.
걱정했잖아요. 뭐 별거라고.,이 조건은 불이익이 발생할 수 있는 것이기 때문에 강조를 해야해서 이렇게 안내해 드렸습니다.
갑자기 긴장이 되는데요?,지원이 중단될 수 있단은 것을 말씀드립니다.
전부 지원이 중단된다는 것 인가요?,격리 입원 치료비가 중단됩니다. 사실상 전액 지원 중단입니다.
맞네 전액이네. 큰일났네요. 그렇다면 지시는 무엇인가요?,저도 아직 그것에 대해서 설명을 들은 적이 없습니다. 그래서 안내를 해 드릴 수 없습니다.
조금 아쉽네요. 먼가 완벽하지 않은 느낌을 받았습니다.,"유익한 정보 되셨길 바라며, 상담원 OOO이었습니다."
예비신랑입니다. 제가 다음달에 결혼을 하는데 결혼식 진행할 수 있을까요?,축하드립니다. 말씀하시는 지역이 어디신가요?
서울입니다. ,서울은 현재 거리두기 2.5단계로 결혼식이 어려우십니다. 
"아이고, 그럼 저는 어쩌나요, ",죄송합니다. 어려우시다는 말씀을 드립니다. 
그럼 방법은 없나요? 연기가 가능할까요?,연기가 가능하실지는 해당 예식장에 문의를 해보셔야 할 것 같습니다. 
물어보면 답이 나올까요,그래도 업체에서 연기가 가능하다고 하면 연기를 진행하는 편이 나으실것 같습니다. 
소규모도 진행이 안됩니까?,"당사자 제외 20명 제한인데, 그럼 예식의 의미가 없으실 것 같습니다. "
식사를 안한다면 가능한가요,식사를 안하시는 것도 방법이기는 한데 일단 20명이상 모임이 불가 하십니다. 
그럼 예식장에 일단 연기가 가능한지 물어봐야 겠네요,네 그렇시는 것이 좋을 것 같습니다. 
알겠습니다. 수고하세요. ,결혼을 축하드립니다. 
나른 나라에서 온 사람들은 코로나 입원비 어떻게 해요?,그건 케이스마다 다릅니다 
그래요?,8월 17일 입국자 이후 확진된 해외유입 외국인에게 부담됩니다.
방역 어긴 사람도 해줘요?,8월 24일 이후 귀책사유가 있는 해외유입 확진 외국인에게 부답됩니다. 
지원해주는 나라는 어떻게 되요?,비필수 비급여를 제외하고 그 나라에서 전액 지원 됩니다. 
조건부 지원국가는 어때요?,"격리실입원료는 지원되구요 치료비, 식비는 본인부담 입니다."
미지원 국가는요?,전액 본인부담으로 진행합니다. 
지원되는 국가를 더 자세히 알고싶은데 어떻해요?,코로나19홈페이지에 정기적으로 게시가 됩니다.
콜센터도 가능한가요?,OOOO콜센터로 문의하시길 바랍니다. 
번호 몇번이예요?,OOOO를 누르시고 1번 눌러주시면 됩니다.
그럼 저 휴업수당 나올까요?,무슨일을 하셨어요?
저요..일식집요,확진자가 가게에서 나왔나요?
없는거 같아요,자가격리자가 있으신가요?
아뇨,이유는 아시나요?
장사가 안되서요,몇 명의 직원이 있나요?
8명요,휴업수당을 신청하실 수 있습니다. 
신청 어디서해요?,고용노동부 홈페이지에서 신청 가능합니다. 
뭐 필요해요?,"네. 신분증, 통장사본, 월급입금내역 등이 필요합니다. "
홈페이지에 있어요?,네. 홈페이지에서 확인하시면 됩니다. 
코로나 예방주사 궁금해서 전화했어요,네 안녕하세요 뭘 도와드릴까요?
우리나라에 백신있나요?,현재 개발단계입니다. 
임상실험 들어갔다고 최근 기사에서 본것 같은데요?,현재 백신관련 거짓정보가 많은 실태입니다. 
"아, 그럼 구분해서 봐야겠네요?",일단 백신이 개발되면 정부에서 바로 안내를 해드릴겁니다. 
그럼 지금 어느단계까지 백신 개발이 되었나요?,아직 국내에서도 실험 단계에 있습니다. 
그럼 언제 백신이 나오나요?,현재로썬 알수가 없습니다. 
코로나가 계속 번지겠네요?,백신이 나오기 전까진 방역에 총력을 기울이고 있습니다. 
코로나 한번걸리면 부작용이 많다던데요?,많은 사례가 있습니다. 부작용은 극히 일부입니다. 
그래요.그래도 무서워요,최대한 접촉 줄이시고 마스크 착용 및 손소독 부탁드립니다. 
"네, 백신이 얼른 나왔으면 좋겠어요",네 건강 유의하십시오. 
"저기요, 제가 결혼을 하는데 예식장에서 해도 되요?",어디서 결혼하시나요?
대전광역시요,네 대전은 거리두기 2단계라 현재로선 가능합니다. 
3단계가나요?,확진세에 따라 결정되기 때문에 현재로선 알수 없습니다. 
그럼 3단계로 바뀌면 어떻게 해야하나요?,10인이상 집합이 금지되기때문에 취소해야할 수도 있습니다. 
지금은 몇명이상 됩니까?,50인 이상 가능합니다. 
신랑신부 포함이요?,당사자는 제외하고 50명 제한입니다. 
그럼 밥먹는거 해도 될까요?,식사 외엔 마스크를 쓰시면 가능하십니다. 
또 조심해야할 껀요?,테이블간 거리두기도 해야합니다. 
그건 호텔에 물어봐야겠네요 ,네 감사합니다. 
저 궁금한게 있어서 전화드렸어요,네 어떤게 궁금하신가요?
코로나 검사후에 비용이 건강보험이 적용이 되는지요?,최근 확진자와 접촉하시거나 
코로나 증상이 있는거 같아서요,혹시 어떤 증상이 있으신가요?
미열이 계속 나고 몸살기운이 있네요,일단 검사비용은 검사결과에 따라 다릅니다.
설명좀 해주실 수 있을까요?,"네 , 확진자와 접촉했을 시 일반 검사 비용만 부과됩니다."
아니요 광화문 집회는 안갔죠,광화문 집회에 참석한 경우에는 코로나 비용의 50%만 보험이 적용 되세요.
그럼 그냥 검사 받고 싶으면 다 본인부담인가요?,아니요 
그렇군요친절하게 알려주셔서 감사합니다. ,네 감사합니다 언제든 다시 문의 주세요
코로나 때문에 지원금을 준다는데요 맞나요?,네 맞습니다. 
청년들도 지원금을 받을 수 있다고 들었거든요,네 맞습니다 받을 수 있으세요
저도 받을 수 있는지 궁금해서요,본인한테 해당되는지 궁금하신 거군요
네 저도 해당되는지 알고 싶어요,미취업 청년 대상으로 1인당 00만원을 지급합니다.
아 그럼 미취업자면 다 받을 수 있나요?,다 받는건 아니구요
다 받을 수 있는것도 아니네요 그럼?,네 재정이 한정되어 있는 관계로 그렇습니다.
그럼 중위 소득 120%면 어느정도인건가요?,재정기획부에는 4인가족 500만원으로 나와있습니다.
아 혹시 나이도 알 수 있을까요?,나이는 18~34세 사이의 청년입니다.
일단 알겠습니다. 괜히 기대 했네요,해당이 안되시더라도 너무 실망하지마세요
그래도 친절히 알려주셔서 감사합니다.,네 감사합니다. 또 궁금한거 있으시면 전화주세요
안녕하세요 뭐좀 여쭤볼려구요,네 어떤것 때문에 전화주셨나요?
그거 어떻게 신청해야 하는지 알려주시겠어요?,네 재난 기본 소득에 대해 말씀하시는군요
아 몰랐네요,사시는 지역이 어디신가요?
00동이요,00시에서 00만원 00도에서 00원 지원합니다.
전 그냥 00도에서만 주는 줄 알았어요,혹시 자녀가 있으신가요?
아니요 저는 결혼을 안했어요 ,그러시군요 자녀가 있으신 경우에는
언제 받을 수 있나요?,정확한 날짜는 의논중에 있으니 기다려 주세요
안녕하세요 질문좀 드릴게요,안녕하세요 무슨일때문에 전화주셨나요?
네 그렇죠 거의 반강제로 직장을 나왔으니까요,힘드시겠습니다. 지원 받을 수 있는 제도가 있습니다
설명좀 해주실래요?,위기가구 긴급생계지원사업이 진행되고 있습니다.
2인가구요,그렇다면 00원 지원받을 수 있습니다
한번 지원해주나요? 아니면 매달 주나요?,1회에 한해 긴급 생계비 지원이라 매달은 어렵습니다
